gas,mse,r2
H2O,0.05747385276531028,0.9472804469802688
CO2,0.09820128616031974,0.9043012182902226
O2,0.06518086884138026,0.9392470870473109
N2,0.8754069403427329,0.10490356033754356
CH4,0.05235791010213291,0.9467566065080548
N2O,0.10917331506557407,0.8862831874352189
CO,0.48702830074982595,0.48655785883300773
O3,0.032948585524045663,0.9673721866657963
SO2,0.05521434065745009,0.9476937393042678
NH3,0.05012146992211727,0.9477486603591209
C2H6,0.585159087918331,0.4433524641024733
NO2,0.05778992622300566,0.9397083224293611
