PlanetIndex,star_class,star_temperature_in_Kelvin,star_radius_in_Solar_radii,distance_from_Earth_to_the_system_in_parsecs,semimajor_axis_of_the_planet_in_AU,planet_radius_in_km,planet_density,planet_surface_pressure_bars,kappa,gamma1,gamma2,alpha,beta,planet_surface_temperature_Kelvin,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2,planet_atmospheres_avg_mol_wgt,planets_mean_surface_albedo
0,5,3865.881544889119,0.6116956248424297,8.641153238276944,0.2368616196867113,5547.156365434993,5.2366107553353,3.1328216828535664,-2.7298049928238024,0.6745014528421085,-0.5045616265418303,0.530267925003812,0.9461553940331668,305.64088407434184,0.0223478026432198,0.3265491832220236,0.4293763267969328,0.15685487867932,0.0414861544711336,0.0095978318961577,0.0005687861558037,0.0033016133420139,0.0088690410416598,0.0008752626169586,0.0001642183630139,8.900771762236293e-06,34.758161027570445,0.1394588717377639
1,3,6021.794550637255,1.8676464918531708,14.332857949630643,1.7151269154746736,4784.145072915197,4.995815011139473,4.638380406694414,-2.7453237571350853,0.7356221342200313,-0.2869478937567942,0.6416656131407901,0.7561375682152724,237.46414354695884,0.0437250069843814,0.6621657541754187,0.1153708997971667,0.0982001826218295,0.0477147473804514,0.0081086870679867,0.0046327780590646,0.0010513417217234,0.0168435959188894,0.0021472477809425,2.932660893666093e-05,1.0431883208398604e-05,38.791946640905614,0.4649531293882933
2,5,4942.46158892898,0.8177587622578051,13.639490220243443,0.8327093441171247,7876.184047720105,6.244479345687936,0.7786806962212666,-2.585832513301967,1.0156781299843618,-0.3531088590988234,0.6245573593936492,0.9144037168281196,214.4402647474106,0.0190035283988183,0.4087727866955998,0.4067950488407575,0.1044336977042067,0.0412703001819388,0.0079640491344482,0.0067920418774377,0.0010231550649456,0.0027488407501944,0.0007927357900034,0.0003997225079918,4.093053657439407e-06,35.72799630347472,0.4995327034220634
3,3,6977.734685522355,1.619337592336909,5.968851769485165,3.7135922064366063,5605.477562604415,5.388937524326547,2.7530211469281243,-2.1191931802394035,-1.0934748302105486,-0.3830415746171793,0.9723283297828228,0.814738369337195,210.6374726724981,0.0294086238073008,0.1519192116199214,0.5448864946938633,0.205942092199198,0.0532496557314234,0.0054490240038557,0.0035306069489553,0.0031319421428349,0.0002020931872842,0.0022127429477522,6.488611457210511e-05,2.6266030382154392e-06,31.81664285527122,0.3913742288550816
4,5,5274.437388490636,0.7701240822174523,9.1373465672429,0.8738156367413294,8314.135890173073,6.463901802419233,2.3874878264565265,-2.156637242748284,0.8946941899912111,-1.2911249312067978,0.8716957174570285,1.0350233263918902,372.6771373743319,0.0109445584633096,0.430828607563786,0.1533375298510864,0.3461766996592585,0.0466633301684345,0.0074497395633404,0.0009025754875373,0.0007400457013404,0.0003294427478233,0.0025038871968573,0.0001133915682782,1.0192028947760552e-05,34.96686900506656,0.2951099641497851
5,4,5695.687160485009,1.2014694929939749,8.130345335809466,1.939610544462303,7537.193307897784,6.15253459055396,3.1857118394322725,-3.0649558732237026,0.757758314097198,-1.4834413776047843,0.1454037640741107,0.8613788333455472,175.69039889942331,0.0487718977699297,0.6722602155388697,0.0901572223071785,0.1183984348830076,0.0444868938418134,0.0117194662242791,0.0086470152775774,5.4400090368600814e-05,6.455044989962951e-07,0.0050526766754788,0.0004381937028753,1.2938184122434867e-05,38.23996653893568,0.3867994446204505
6,5,4957.857235459244,0.6263149376443575,1.5264375384124025,0.4176825860787259,5650.671895971124,5.396911263836411,0.6558879595478015,-2.6056405895325443,-0.7659576019623925,-0.3371712720511213,0.2387807167943543,0.9828781092919234,320.9612898074898,0.033448957108348,0.1843743599876819,0.2551727664929528,0.4574941805775472,0.0526411635593773,0.0015673591248187,0.0053516255187216,0.0009544729552549,0.0045907276848518,0.0042219230613859,0.0001729374488745,9.526480184741934e-06,31.17870744017252,0.433509205184201
7,3,6043.568735053976,1.6160732017191426,10.2267005942983,2.5891189284339147,7754.951176825303,6.276168420831797,1.2515987949823069,-2.097407115565553,-1.2164663470718688,-1.187993843308112,0.3049234029923637,1.0352744465965238,343.89166232681464,0.1265893858443965,0.1188985381317542,0.2478573348602419,0.3997555928435949,0.0491270342250499,0.0163333992583005,0.0181505904945168,0.0016003335389742,0.0113817168867064,0.0100657739105862,0.0002354233649878,4.876640890089188e-06,29.64303215196983,0.3894744292111091
8,4,5620.208027377634,1.191618594923622,8.40163807487634,0.8804327861112669,9124.046958929075,6.93162962240338,1.89687600796764,-3.386827755860613,-1.3098642437024934,-1.433292025942308,0.2360926280033363,0.7183687534464391,217.1376187586364,0.0101182845859438,0.0958689916452123,0.3463506198437121,0.4556956826141907,0.0600426097482667,0.0087203266349357,0.0076787718966746,0.0025203229185353,0.0061596074728762,0.0067281126714878,0.0001047254044159,1.1944563748396744e-05,30.445631319162903,0.1217082554138971
9,4,5850.730067258239,0.9608490364551684,2.846289029316747,1.4874360596900753,7481.534741888685,6.096788494519942,3.235236945212072,-2.9467947136493167,-0.7045648822799546,-0.8949366680428161,0.790327739927733,1.0203300385827003,277.6366883425155,0.042713129313144,0.1065335721105292,0.4073985226991828,0.3990631267721054,0.0080053326943268,0.013169035208693,0.0079382047360325,0.0004101212209798,0.0136247011536707,0.0010998214953521,3.5496874950532924e-05,8.935721032530738e-06,31.51661639016381,0.135804776876052
10,3,7048.490940428495,1.8027187343360924,10.381273773672426,2.7234816011052634,8945.114023774577,6.792732348239765,0.5169227991476653,-3.3349435361944204,-1.1083801473868042,-1.1576090348411534,0.0096802973339552,0.9084740587735112,224.79978040710097,0.0325828686463797,0.4704090292319284,0.1191317221336019,0.3235188922532124,0.0359106107712179,0.002527085177175,0.0043675230727542,6.218081471855868e-06,0.0097897241428001,0.0017428142979218,3.1188721071426785e-06,1.0393319429204438e-05,35.63211469088884,0.1257466590711976
11,5,4720.464404857978,0.8482826677351595,9.76610110369432,1.0848686141071384,3242.4145266054547,4.562931970127348,0.6231154020036986,-2.298985357733202,-0.2349728129997157,-0.5419335715112394,0.7983628299655682,1.0515844053086547,251.12423154472688,0.0440783941908269,0.4260484936465057,0.4609461223160174,0.0554930332346554,0.0035415884344701,0.0079638774195486,0.0006228453486839,0.000194257896083,1.9622642851463654e-05,0.0010648751697342,2.0103628212681884e-05,6.786072410213341e-06,36.30331784167746,0.3226382750642229
12,4,5744.270954417962,1.2259373500346469,9.566894238687617,1.508323699806378,4067.661104736717,4.848216766213343,4.86839669835641,-3.4587584580235777,-1.4346968802844455,-1.1914206604186424,0.9170868683674672,1.0078908219888467,315.384168572544,0.0302358034969791,0.3061555918234739,0.2195607700357432,0.4124568646864752,0.0127904230581648,0.005910644386194,0.0061201344557865,0.0010329492600525,0.0022938433338911,0.0033738859276028,6.037222463961677e-05,8.717310996896741e-06,33.49157123752032,0.2479329332250738
