Learning Rate,Batch Size,Epochs,MSE,R2
0.0001,64,64,0.15913387927240175,0.8540298486723245
0.0001,64,100,0.11938001096036631,0.8904952336670248
0.0001,128,64,0.2292108259057085,0.7897497434463643
0.0001,128,100,0.18056097203063318,0.8343752283819635
0.000658,64,64,0.0863641636845261,0.9207799740698915
0.000658,64,100,0.07803684415599971,0.9284184486504814
0.000658,128,64,0.08372078936286174,0.9232046855864664
0.000658,128,100,0.09803045874540153,0.910078727652375
0.001,64,64,0.1254732342362566,0.8849060484619529
0.001,64,100,0.0887142792293303,0.9186242626445114
0.001,128,64,0.09371013747696963,0.9140416672364573
0.001,128,100,0.08996601847188006,0.9174760686364647
